Reference	ID	Tags	OrigWords	Occurrence	TWLink	selections	comments	bookmarks	verseEdits	invalidated
2:6	ge2q	other	ὡσαύτως	1	rc://*/tw/dict/bible/other/like			0	0	0
2:6	wz6r	other	σωφρονεῖν	1	rc://*/tw/dict/bible/other/selfcontrol			0	0	0
2:7	ncv7	kt	καλῶν	1	rc://*/tw/dict/bible/kt/good			0	0	0
2:7	p6a7	other	διδασκαλίᾳ	1	rc://*/tw/dict/bible/other/doctrine			0	0	0
2:8	zdzc	kt	φαῦλον	1	rc://*/tw/dict/bible/kt/evil			0	0	0
2:8	bxtu	other	ἐντραπῇ	1	rc://*/tw/dict/bible/other/shame			0	0	0
2:9	hc8q	kt	δεσπόταις	1	rc://*/tw/dict/bible/kt/lord			0	0	0
2:9	xaer	other	δούλους	1	rc://*/tw/dict/bible/other/servant			0	0	0
2:9	hhgu	other	ὑποτάσσεσθαι	1	rc://*/tw/dict/bible/other/subject			0	0	0
2:10	bn72	kt	πίστιν	1	rc://*/tw/dict/bible/kt/faith			0	0	0
2:10	pynk	kt	Θεοῦ	1	rc://*/tw/dict/bible/kt/god			0	0	0
2:10	d9wq	kt	ἀγαθήν	1	rc://*/tw/dict/bible/kt/good			0	0	0
2:10	rqa2	kt	Σωτῆρος	1	rc://*/tw/dict/bible/kt/savior			0	0	0
2:10	pex6	other	διδασκαλίαν	1	rc://*/tw/dict/bible/other/doctrine			0	0	0
2:11	xef2	kt	Θεοῦ	1	rc://*/tw/dict/bible/kt/god			0	0	0
2:11	rxzp	kt	χάρις	1	rc://*/tw/dict/bible/kt/grace			0	0	0
2:11	kjwq	kt	σωτήριος	1	rc://*/tw/dict/bible/kt/save			0	0	0
2:12	trje	kt	ἀσέβειαν	1	rc://*/tw/dict/bible/kt/godly			0	0	0
2:12	wyfa	kt	εὐσεβῶς	1	rc://*/tw/dict/bible/kt/godly			0	0	0
2:12	dr9j	kt	δικαίως	1	rc://*/tw/dict/bible/kt/righteous			0	0	0
2:12	y4sh	kt	κοσμικὰς	1	rc://*/tw/dict/bible/kt/world			0	0	0
2:12	e5gn	other	αἰῶνι	1	rc://*/tw/dict/bible/other/age	[{"text":"forma autocontrolada","occurrence":1,"occurrences":1}]		0	0	0
2:12	hukr	other	ἐπιθυμίας	1	rc://*/tw/dict/bible/other/lust			0	0	0
